time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,-2,-2,-2,-2,-7,1,-1,-1
1,0,-1,-1,0,4,-6,-1,2
2,-1,0,0,-2,-2,-4,0,-1
3,-1,-1,0,0,4,11,2,0
4,-1,0,-2,0,-2,-16,-5,-3
5,1,-3,0,1,-1,2,2,-2
6,-1,-1,-1,1,-7,-16,-4,-2
7,-2,0,-1,-3,3,16,4,-1
8,0,-1,-1,-5,-2,6,-7,-2
9,0,-1,0,1,-7,-24,-3,-3
10,-1,-3,-3,-1,3,5,-2,1
11,-1,0,1,0,0,12,-4,0
12,0,-1,0,3,1,0,10,1
13,0,-2,-3,-1,0,2,-1,-1
14,0,-2,-1,-3,-8,-2,-3,0
15,-3,0,-1,-2,-1,-5,-1,0
16,1,-3,0,0,-1,-2,0,-1
17,0,-1,-1,-2,-6,-16,-2,1
18,0,-2,-2,-1,4,6,0,-1
19,-1,-2,-2,-1,0,19,1,-3
20,0,0,-1,-1,2,-8,-3,-2
21,-1,0,0,0,0,-10,-4,-1
22,-2,0,-1,-1,-2,0,1,-1
23,0,0,-1,-2,-5,-7,1,0
24,-2,1,-1,-4,4,0,1,-1
25,0,-3,-1,0,-1,15,-3,-1
26,0,-2,0,0,-1,-11,-1,0
27,-1,1,0,1,-2,-4,4,2
28,1,0,0,-1,-3,-7,-1,-2
29,-2,1,-4,-4,2,16,-1,-2
30,0,1,-2,0,-7,-12,2,0
31,-2,-1,-1,1,10,63,4,-1
32,-1,0,0,1,-2,-8,-1,-3
33,-1,0,-2,-4,-11,-20,-6,-3
34,0,-1,1,0,-3,-11,-4,-2
35,-1,-2,-2,-2,-6,-25,-1,-3
36,0,-2,0,3,-1,5,-4,-1
37,-2,-4,-1,-2,3,0,0,0
38,-1,-4,0,-2,6,18,-1,-1
39,1,-4,-2,-1,-5,-36,-1,0
40,0,-1,-2,-2,6,22,2,3
41,-2,0,0,1,-6,0,-3,-1
42,-1,0,0,-1,0,12,-5,3
43,0,1,-1,0,-3,-3,-2,0
44,0,1,2,2,9,-7,4,2
45,-1,0,0,0,-3,-5,-7,-1
46,-1,-3,-2,-2,-5,-4,-3,-4
47,-2,-2,-3,-4,-10,-7,-4,-2
48,-1,-1,-2,-1,-1,-4,-5,-2
49,-2,0,1,0,0,3,-5,-1
50,-1,-1,0,2,2,4,1,0
51,0,-1,-1,0,-5,-9,0,-1
52,0,0,0,-2,-12,-7,-2,2
53,-1,2,2,2,13,-1,-2,-2
54,-1,2,0,1,5,4,3,-1
55,2,0,-2,-2,-6,-11,0,-2
56,1,-1,-1,-1,-2,-3,-2,0
57,0,-1,-1,-1,-10,-17,-2,-2
58,-3,1,0,-1,-1,-30,-1,0
59,-1,-3,-2,-2,6,18,1,-1
60,-2,0,0,0,1,1,-1,-3
61,0,-1,-2,-2,1,6,2,1
62,-2,-2,-3,-2,-5,-1,-4,1
63,-2,-1,0,-1,-8,-23,-3,-2
64,-1,1,-1,3,18,27,-2,-1
65,-1,-1,0,-3,-8,-11,0,-5
66,0,-2,-2,-2,0,2,-2,-1
67,-1,0,0,0,1,20,0,1
68,1,-1,-1,-2,-4,-12,0,0
69,0,-1,-1,0,-3,-11,-1,2
70,0,-1,-2,-1,-9,-7,-4,-3
