time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
138,1,-1,1,1,2,0,0,-1
139,1,0,-2,-1,-3,1,-1,-2
140,1,0,0,0,-1,2,1,-1
141,0,-2,0,0,-1,-5,-2,-1
142,-3,-1,-1,-1,2,8,-1,1
143,-1,0,0,1,0,-12,-2,-4
144,-3,-1,0,-1,-5,13,-2,-2
145,1,0,-2,-3,0,-8,1,0
146,-2,-3,-5,-1,-1,-8,-1,0
147,1,-1,0,1,5,21,1,0
148,0,-1,0,1,-1,-11,2,0
149,-2,-1,-2,0,-1,-4,-2,-1
150,0,0,-1,0,0,-9,-2,0
151,0,-1,0,-1,2,19,0,1
152,-1,0,-1,1,-1,17,1,-1
153,-2,-3,-2,-1,-1,10,0,-3
154,0,0,-1,0,-1,-13,2,-1
155,0,-1,1,-3,-2,-5,0,-1
156,0,-1,-1,0,1,0,-1,-1
157,-1,-1,0,-3,-3,-8,-1,1
158,0,-1,-1,-2,-3,2,-2,-1
159,-3,-1,0,1,-3,-8,0,-1
160,-3,1,-1,0,1,10,-3,-2
161,-1,-1,-3,-2,-2,-5,1,-2
162,-1,-2,0,-2,2,5,2,-1
163,-1,1,-2,0,-6,-4,-3,-2
164,-1,-1,-1,-1,2,-8,-1,1
165,-2,-1,0,0,1,9,-1,-2
166,-1,-1,0,0,0,4,-1,0
167,-1,-1,-2,-1,-3,-10,-1,-3
168,-2,-1,0,-1,-5,-16,-4,-1
169,0,-1,-2,-1,-1,13,0,-1
170,0,0,-1,0,-5,-17,-1,-1
171,0,-1,-1,0,4,16,2,-1
172,0,-1,0,-2,-3,-8,1,0
173,-2,-2,-2,-1,-1,-12,-2,0
174,-2,-1,0,-1,1,3,-1,-1
175,-1,-1,-2,0,0,11,0,-2
176,-1,0,-2,0,1,0,0,-1
177,0,0,0,0,-1,-7,-1,-1
178,-1,0,0,-4,-3,-1,-3,-3
179,0,-1,0,0,-3,-23,-1,1
180,0,-1,-1,-1,0,10,1,-2
181,0,0,-1,1,1,4,-1,-2
182,0,-1,2,0,-3,-16,-2,0
183,-1,-2,0,-1,0,6,1,0
184,-2,0,-1,0,3,12,1,-1
185,0,0,-2,0,-2,-1,-3,1
186,0,-1,-3,-3,3,7,-2,-2
187,0,-2,0,0,-2,-13,-1,-1
188,0,-2,-1,-3,-5,-7,-1,1
189,-1,-1,-1,1,2,-2,0,-1
190,-1,0,-1,1,-1,1,-2,0
191,-1,-1,-1,-2,-4,-2,-2,-1
192,-1,-2,-1,2,-2,6,-2,-2
193,-2,0,0,0,2,2,1,0
194,-1,0,-1,-1,0,-8,-1,-1
195,-1,0,-2,-3,3,-2,0,0
196,0,-1,0,-2,-1,-7,-1,-2
197,-2,-2,-1,-3,-2,11,1,-1
198,1,-3,-2,-1,0,12,1,0
199,0,1,2,0,-3,-7,-3,-1
200,-2,-1,-2,-2,-3,-17,-3,-2
201,0,-1,0,1,5,29,0,1
202,0,-1,0,0,-1,-1,-1,-1
203,-1,-1,-1,0,-2,0,1,-3
204,-1,0,-1,-2,-1,7,0,0
205,-1,0,1,0,-1,-12,-2,-2
206,-2,-1,0,0,-2,5,-2,-1
207,0,1,-3,-5,-1,-11,-3,-2
208,-1,-1,-3,-1,-3,-15,-1,-2
209,0,0,-2,0,0,21,1,1
210,-1,1,1,0,1,-2,0,0
211,-1,-2,1,0,-1,9,0,0
212,0,-1,1,-1,-1,-12,-2,-1
213,0,-1,-2,-2,-3,4,-1,-2
214,0,-2,-1,-2,-3,-7,-3,-1
215,1,1,0,1,3,22,1,1
216,-1,1,0,1,-2,-10,0,-1
217,-1,-2,0,-1,0,-1,0,0
218,-1,-1,-3,-1,-1,-7,-1,-1
219,0,0,-2,-1,-2,-3,0,-2
220,0,-1,-1,1,1,13,-3,0
221,-2,0,-2,-1,-4,-19,-2,-2
222,-2,0,-2,-3,-7,-16,-2,-1
223,-1,-2,0,1,0,-3,0,1
224,0,-1,-2,1,5,55,1,-2
225,0,-1,0,0,-5,-19,-2,-3
226,-1,-1,-2,0,4,6,1,0
227,-1,-2,-2,-2,-4,-18,-3,-3
228,1,-1,-1,-1,-4,-13,0,-1
229,-2,-1,0,-1,1,-3,-2,1
230,-1,-2,-1,1,-1,5,1,-2
231,-1,-3,-1,-2,1,-4,-1,-3
232,-1,-1,-1,-1,-1,1,-1,-2
233,0,-1,-2,-2,-3,-3,-1,-1
234,-1,0,-1,1,0,-3,-1,-1
235,-2,0,-3,-1,-2,5,-3,-1
236,0,0,0,2,2,-7,0,-1
237,-1,-1,-1,-6,-3,-1,-4,-2
238,1,0,-1,0,1,-8,0,0
239,0,0,-2,2,2,18,-1,-1
240,-1,-1,-2,-4,-3,-11,-1,1
241,-1,-1,1,3,-1,-16,-1,0
242,-1,-1,0,-2,0,19,-1,0
243,-2,-1,-2,-3,-1,-13,-1,-2
244,-2,-2,-3,-1,3,15,1,-2
245,1,-2,0,-2,1,-9,1,-1
246,-1,-3,0,-1,-2,7,-1,-1
247,0,-2,0,-2,-5,-15,-2,-1
248,-2,-3,-1,0,-2,-10,-2,0
249,-2,-2,-3,1,-1,9,-1,0
250,0,1,0,1,-1,-1,1,0
251,-1,-1,1,0,0,8,0,-1
252,-2,0,-1,-2,-3,-12,-4,-1
253,-1,2,-2,0,2,19,1,-1
254,1,0,-2,-4,-5,-6,-3,0
255,-1,-1,-1,-2,0,-12,-2,0
256,-1,-2,1,-1,1,10,1,0
257,-1,0,-1,0,-1,-11,-1,-1
258,-1,0,0,-2,0,-7,-1,0
259,0,-1,-1,-1,-2,1,-1,-1
260,-1,0,-2,-3,-5,-21,-1,-2
261,0,-2,-1,-3,1,24,-1,0
262,0,-2,0,1,-1,-15,-1,-1
263,-3,-1,1,-1,4,20,-1,0
264,-1,0,0,1,-4,-6,-1,1
265,0,-1,-1,-2,-5,-15,0,-1
266,-1,-2,-2,0,2,32,1,-2
267,1,-1,-1,1,-2,-6,-2,0
268,0,1,-1,-1,-2,0,-3,-1
