time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0,-1,-1,-1,0,-1,-10,-4,0
1,-1,-2,-1,0,-1,-1,-4,-2
2,1,-1,-1,1,-1,-9,1,-1
3,0,0,2,-1,1,2,0,-1
4,-1,-1,-1,-2,1,4,0,0
5,-2,0,-1,-1,0,-3,1,-1
6,-1,-1,-1,-3,-1,-8,-2,-2
7,0,-2,-2,0,-3,-10,1,0
8,1,-1,0,-2,2,9,-1,-3
9,-1,1,-2,-2,-1,-1,-2,-4
10,0,-1,-1,0,0,-3,0,1
11,-1,0,-1,-1,-1,-13,1,-1
12,-2,1,-2,0,-3,-1,-5,-2
13,1,-1,0,-3,0,2,1,0
14,-1,-1,1,-1,0,-7,-1,-1
15,0,-2,-3,-2,-6,-6,-2,1
16,0,-1,-2,1,5,27,2,0
17,-1,-2,-1,1,0,-5,0,-1
18,-1,-2,0,2,-2,5,0,-2
19,0,-2,-1,-1,1,16,1,-1
20,0,0,-2,-1,-3,-6,-2,-1
21,0,0,0,1,-3,-13,-2,0
22,-2,-2,-2,-3,-1,-5,-2,-2
23,-2,-2,-1,1,-3,-29,-2,0
24,1,-1,-1,-1,-1,8,1,2
25,0,0,0,-1,-4,-26,-2,0
26,-1,0,0,-1,3,41,0,0
27,0,-1,-2,-2,-1,-5,-2,-2
28,-2,-1,1,-1,-2,-2,0,-3
29,-1,0,-2,-1,-3,4,-3,-2
30,0,0,-1,-1,-3,-7,1,1
31,0,-1,2,0,0,2,-2,1
32,-1,-2,0,2,-2,-13,1,1
33,0,-1,-1,-2,0,7,-2,0
34,-1,0,-3,-4,-1,-5,-2,-3
35,0,1,-1,0,0,10,-1,-2
36,1,-1,0,0,3,23,3,1
37,0,-2,-2,-2,-6,-17,-1,0
38,0,-1,-1,-1,3,20,-1,0
39,-1,-1,0,-2,-6,-3,-1,-1
40,0,-2,-2,-2,-1,-6,0,-3
41,1,-1,0,0,0,-2,1,0
